"Function / Call Stack","CPU Time","Clockticks","Instructions Retired","CPI Rate","Retiring","Front-End Bound","Bad Speculation","L1 Bound","L2 Bound","L3 Bound","DRAM Bound","Store Latency","Split Stores","Store STLB Hit","Store STLB Miss 4K","Store STLB Miss 2M","Store STLB Miss 1G","Core Bound","Retiring","Front-End Bound","Bad Speculation","Core Bound","Store Bound","Loads Blocked by Store Forwarding","Load STLB Hit","Load STLB Miss","Other L1","L2 Bound","L3 Bound","DRAM Bound","Other Load Store","Back-End Bound Auxiliary","Average CPU Frequency","Module","Function (Full)","Source File","Start Address"
"std::_Hash<class std::_Uset_traits<unsigned int,class std::_Uhash_compare<unsigned int,struct std::hash<unsigned int>,struct std::equal_to<unsigned int> >,class std::allocator<unsigned int>,0> >::emplace<unsigned int>","0.00299975","7257000","7257000","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4192e+09","timecritsuite.exe","std::_Hash<class std::_Uset_traits<unsigned int,class std::_Uhash_compare<unsigned int,struct std::hash<unsigned int>,struct std::equal_to<unsigned int> >,class std::allocator<unsigned int>,0> >::emplace<unsigned int>(unsigned int &&)","xhash","0x1400022d0"
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::_Refill_lower","0.00299975","7257000","7257000","1","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4192e+09","timecritsuite.exe","std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::_Refill_lower","random","0x1400028fd"
"operator new","0","0","7257000","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","timecritsuite.exe","operator new(unsigned __int64)","new_scalar.cpp","0x14000b998"
"std::_Uninitialized_backout<std::_List_unchecked_const_iterator<std::_List_val<std::_List_simple_types<unsigned int> >,std::_Iterator_base0> *>::_Emplace_back","0.00299975","7257000","7257000","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4192e+09","timecritsuite.exe","std::_Uninitialized_backout<std::_List_unchecked_const_iterator<std::_List_val<std::_List_simple_types<unsigned int> >,std::_Iterator_base0> *>::_Emplace_back","xmemory","0x140002650"
"[Loop at line 59 in GenerateTestPlates]","0","7257000","7257000","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","timecritsuite.exe","[Loop at line 59 in GenerateTestPlates(void)]","common.hpp","0x140001b50"
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::_Refill_upper","0","0","7257000","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","timecritsuite.exe","std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::_Refill_upper","random","0x1400028a0"
"std::_Hash<std::_Uset_traits<unsigned int,std::_Uhash_compare<unsigned int,std::hash<unsigned int>,std::equal_to<unsigned int> >,std::allocator<unsigned int>,0> >::_Insert_new_node_before","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","timecritsuite.exe","std::_Hash<std::_Uset_traits<unsigned int,std::_Uhash_compare<unsigned int,std::hash<unsigned int>,std::equal_to<unsigned int> >,std::allocator<unsigned int>,0> >::_Insert_new_node_before","xhash","0x1400024d1"
"std::pair<std::_List_const_iterator<std::_List_val<std::_List_simple_types<unsigned int> > >,bool>::{ctor}","0","7257000","0","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","timecritsuite.exe","std::pair<std::_List_const_iterator<std::_List_val<std::_List_simple_types<unsigned int> > >,bool>::{ctor}","utility","0x14000251c"
"operator delete[]","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","timecritsuite.exe","operator delete[](void *)","delete_array.cpp","0x14000b990"
"[Loop at line 67 in GenerateTestPlates]","0.00299975","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","timecritsuite.exe","[Loop at line 67 in GenerateTestPlates(void)]","common.hpp","0x140001cf0"
"std::equal_to<unsigned int>::operator()","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","timecritsuite.exe","std::equal_to<unsigned int>::operator()","xutility","0x14000234f"
"Car::{ctor}","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","timecritsuite.exe","Car::{ctor}","common.hpp","0x140001f62"
"std::_Hash<std::_Uset_traits<unsigned int,std::_Uhash_compare<unsigned int,std::hash<unsigned int>,std::equal_to<unsigned int> >,std::allocator<unsigned int>,0> >::_Check_max_size","0.00299975","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","timecritsuite.exe","std::_Hash<std::_Uset_traits<unsigned int,std::_Uhash_compare<unsigned int,std::hash<unsigned int>,std::equal_to<unsigned int> >,std::allocator<unsigned int>,0> >::_Check_max_size","xhash","0x14000237c"
"std::_Alloc_construct_ptr<std::allocator<std::_List_node<unsigned int,void *> > >::{ctor}","0","0","0","0","0","0","1","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","timecritsuite.exe","std::_Alloc_construct_ptr<std::allocator<std::_List_node<unsigned int,void *> > >::{ctor}","xmemory","0x14000239a"
"[Import thunk malloc]","0.00299975","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","timecritsuite.exe","[Import thunk malloc]","[Unknown]","0x14000c72c"
