"Function / Call Stack","CPU Time","Clockticks","Instructions Retired","CPI Rate","Retiring","Front-End Bound","Bad Speculation","L1 Bound","L2 Bound","L3 Bound","DRAM Bound","Store Latency","Split Stores","Store STLB Hit","Store STLB Miss 4K","Store STLB Miss 2M","Store STLB Miss 1G","Core Bound","Retiring","Front-End Bound","Bad Speculation","Core Bound","Store Bound","Loads Blocked by Store Forwarding","Load STLB Hit","Load STLB Miss","Other L1","L2 Bound","L3 Bound","DRAM Bound","Other Load Store","Back-End Bound Auxiliary","Average CPU Frequency","Module","Function (Full)","Source File","Start Address"
"std::equal_to<unsigned int>::operator()","0.00299975","0","0","0","0","0","1","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","timecritsuite.exe","std::equal_to<unsigned int>::operator()","xutility","0x14000234f"
"[Loop at line 59 in GenerateTestPlates]","0","0","7257000","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","timecritsuite.exe","[Loop at line 59 in GenerateTestPlates(void)]","common.hpp","0x140001b50"
"std::_Hash<std::_Uset_traits<unsigned int,std::_Uhash_compare<unsigned int,std::hash<unsigned int>,std::equal_to<unsigned int> >,std::allocator<unsigned int>,0> >::_Check_max_size","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","timecritsuite.exe","std::_Hash<std::_Uset_traits<unsigned int,std::_Uhash_compare<unsigned int,std::hash<unsigned int>,std::equal_to<unsigned int> >,std::allocator<unsigned int>,0> >::_Check_max_size","xhash","0x14000237c"
"Car::{ctor}","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","timecritsuite.exe","Car::{ctor}","common.hpp","0x140003c1d"
"std::_Default_allocate_traits::_Allocate","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","timecritsuite.exe","std::_Default_allocate_traits::_Allocate","xmemory","0x1400023a8"
"[Import thunk malloc]","0.00299975","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","timecritsuite.exe","[Import thunk malloc]","[Unknown]","0x14000c71c"
"[Loop at line 56 in BM_BATCH_RoutingTable]","0","4838000","0","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","timecritsuite.exe","[Loop at line 56 in BM_BATCH_RoutingTable(class benchmark::State & const)]","Batch_RoutingTable_Approach.cpp","0x140003d70"
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::_Refill_upper","0.00899925","7257000","0","","0.4","0","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.06401e+08","timecritsuite.exe","std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::_Refill_upper","random","0x1400028a0"
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::operator()","0.00899925","29028000","0","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.2256e+09","timecritsuite.exe","std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::operator()(void)","random","0x140002890"
"GenerateTestPlates","0.083993","246738000","0","","0","0.0181819","0.436364","1","0","0","0","0","0","0","0","0","0","0.454545","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.9376e+09","timecritsuite.exe","GenerateTestPlates(void)","common.hpp","0x140001980"
"Car::{ctor}","0","7257000","0","","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","timecritsuite.exe","Car::{ctor}","common.hpp","0x140003bd0"
"std::_Hash<std::_Uset_traits<unsigned int,std::_Uhash_compare<unsigned int,std::hash<unsigned int>,std::equal_to<unsigned int> >,std::allocator<unsigned int>,0> >::_Check_rehash_required_1","0","7257000","0","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","timecritsuite.exe","std::_Hash<std::_Uset_traits<unsigned int,std::_Uhash_compare<unsigned int,std::hash<unsigned int>,std::equal_to<unsigned int> >,std::allocator<unsigned int>,0> >::_Check_rehash_required_1","xhash","0x1400023bf"
"std::_Hash<std::_Uset_traits<unsigned int,std::_Uhash_compare<unsigned int,std::hash<unsigned int>,std::equal_to<unsigned int> >,std::allocator<unsigned int>,0> >::_Insert_new_node_before","0","21771000","0","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","timecritsuite.exe","std::_Hash<std::_Uset_traits<unsigned int,std::_Uhash_compare<unsigned int,std::hash<unsigned int>,std::equal_to<unsigned int> >,std::allocator<unsigned int>,0> >::_Insert_new_node_before","xhash","0x1400024d1"
