"Function / Call Stack","CPU Time","Clockticks","Instructions Retired","CPI Rate","Retiring","Front-End Bound","Bad Speculation","L1 Bound","L2 Bound","L3 Bound","DRAM Bound","Store Latency","Split Stores","Store STLB Hit","Store STLB Miss 4K","Store STLB Miss 2M","Store STLB Miss 1G","Core Bound","Retiring","Front-End Bound","Bad Speculation","Core Bound","Store Bound","Loads Blocked by Store Forwarding","Load STLB Hit","Load STLB Miss","Other L1","L2 Bound","L3 Bound","DRAM Bound","Other Load Store","Back-End Bound Auxiliary","Average CPU Frequency","Module","Function (Full)","Source File","Start Address"
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::operator()","0.00899925","7257000","7257000","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.06401e+08","timecritsuite.exe","std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::operator()(void)","random","0x140002890"
"std::_Fnv1a_append_bytes","0.00299975","7257000","7257000","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4192e+09","timecritsuite.exe","std::_Fnv1a_append_bytes","type_traits","0x1400022e9"
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::_Refill_lower","0","7257000","21771000","0.333333","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","timecritsuite.exe","std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::_Refill_lower","random","0x1400028fd"
"[Loop at line 67 in GenerateTestPlates]","0.0059995","21771000","72570000","0.3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.6288e+09","timecritsuite.exe","[Loop at line 67 in GenerateTestPlates(void)]","common.hpp","0x140001ce0"
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::_Refill_upper","0","0","21771000","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","timecritsuite.exe","std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::_Refill_upper","random","0x1400028a0"
"Car::{ctor}","0","0","7257000","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","timecritsuite.exe","Car::{ctor}","common.hpp","0x140002ef0"
"[Loop at line 67 in GenerateTestPlates]","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","timecritsuite.exe","[Loop at line 67 in GenerateTestPlates(void)]","common.hpp","0x140001ce4"
"std::pair<std::_List_const_iterator<std::_List_val<std::_List_simple_types<unsigned int> > >,bool>::{ctor}","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","timecritsuite.exe","std::pair<std::_List_const_iterator<std::_List_val<std::_List_simple_types<unsigned int> > >,bool>::{ctor}","utility","0x14000251c"
"[Loop at line 67 in GenerateTestPlates]","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","timecritsuite.exe","[Loop at line 67 in GenerateTestPlates(void)]","common.hpp","0x140001cf0"
"std::_Uhash_compare<unsigned int,std::hash<unsigned int>,std::equal_to<unsigned int> >::operator()","0.00299975","0","0","0","0","0","1","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","timecritsuite.exe","std::_Uhash_compare<unsigned int,std::hash<unsigned int>,std::equal_to<unsigned int> >::operator()","xhash","0x14000234f"
"std::_Hash<std::_Uset_traits<unsigned int,std::_Uhash_compare<unsigned int,std::hash<unsigned int>,std::equal_to<unsigned int> >,std::allocator<unsigned int>,0> >::_Check_max_size","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","timecritsuite.exe","std::_Hash<std::_Uset_traits<unsigned int,std::_Uhash_compare<unsigned int,std::hash<unsigned int>,std::equal_to<unsigned int> >,std::allocator<unsigned int>,0> >::_Check_max_size","xhash","0x14000237c"
"std::_Hash<std::_Uset_traits<unsigned int,std::_Uhash_compare<unsigned int,std::hash<unsigned int>,std::equal_to<unsigned int> >,std::allocator<unsigned int>,0> >::_Check_rehash_required_1","0.00299975","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","timecritsuite.exe","std::_Hash<std::_Uset_traits<unsigned int,std::_Uhash_compare<unsigned int,std::hash<unsigned int>,std::equal_to<unsigned int> >,std::allocator<unsigned int>,0> >::_Check_rehash_required_1","xhash","0x1400023bf"
"[Import thunk malloc]","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","timecritsuite.exe","[Import thunk malloc]","[Unknown]","0x14000c72c"
"std::_Hash<std::_Uset_traits<unsigned int,std::_Uhash_compare<unsigned int,std::hash<unsigned int>,std::equal_to<unsigned int> >,std::allocator<unsigned int>,0> >::_Insert_new_node_before","0.00299975","0","14514000","0","0","0","1","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","timecritsuite.exe","std::_Hash<std::_Uset_traits<unsigned int,std::_Uhash_compare<unsigned int,std::hash<unsigned int>,std::equal_to<unsigned int> >,std::allocator<unsigned int>,0> >::_Insert_new_node_before","xhash","0x1400024d1"
"std::_Hash<class std::_Uset_traits<unsigned int,class std::_Uhash_compare<unsigned int,struct std::hash<unsigned int>,struct std::equal_to<unsigned int> >,class std::allocator<unsigned int>,0> >::emplace<unsigned int>","0.00299975","14514000","0","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.8384e+09","timecritsuite.exe","std::_Hash<class std::_Uset_traits<unsigned int,class std::_Uhash_compare<unsigned int,struct std::hash<unsigned int>,struct std::equal_to<unsigned int> >,class std::allocator<unsigned int>,0> >::emplace<unsigned int>(unsigned int &&)","xhash","0x1400022d0"
"operator delete[]","0","7257000","0","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","timecritsuite.exe","operator delete[](void *)","delete_array.cpp","0x14000b990"
"std::equal_to<unsigned int>::operator()","0","14514000","0","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","timecritsuite.exe","std::equal_to<unsigned int>::operator()","xutility","0x14000234f"
